dates,Norway,Algeria,Russia,Azerbaijan,Libya,UK net flows,LNG,EU total,Nord Stream,Ukraine Gas Transit,"Yamal (BY,PL)",Turkstream,Russia (Sudzha)
01.08.2018,263.4,76.1,570.2,0,13.8,45.4,114.8,1083.8,174.4,266.1,110.1,,
02.08.2018,262.6,74.8,578.5,0,12.8,47,122.9,1098.6,170.6,277.5,110.2,,
03.08.2018,251,74,565.5,0,11.4,39.5,124.8,1066.2,170.3,263.8,110.3,,
04.08.2018,257.1,71,561.5,0,12.3,35.6,93.7,1031.1,170.6,258.8,110.3,,
05.08.2018,253.9,69.7,565.7,0,11.7,33.7,83,1017.8,170.1,263.9,110.4,,
06.08.2018,252.5,73.4,532.1,0,15.5,30.3,109.5,1013.2,169.9,243.4,97.4,,
07.08.2018,250.1,74.1,510,0,12.8,45.6,115.5,1008.1,170.3,224.5,96.2,,
08.08.2018,259.6,70.8,505.6,0,12,44.9,112.3,1005.1,170,219.9,96.2,,
09.08.2018,252.7,68,505.5,0,11.8,47.8,108.5,994.4,171.1,219,96.3,,
10.08.2018,255.7,71.6,496.2,0,12.3,54.5,118.9,1009.3,170.4,210.7,96.3,,
11.08.2018,249.8,67.3,510.2,0,11.8,53,90.9,982.9,170.8,224.3,96.3,,
12.08.2018,249.7,66,506.7,0,11.7,54.1,85,973.2,169.4,208.3,109.6,,
13.08.2018,249.6,70.9,496.5,0,12.3,56.6,120.2,1006.1,170.5,195.2,110.6,,
14.08.2018,254.1,72,511.3,0,9.6,39.8,112.5,999.3,169.7,211,110.9,,
15.08.2018,251,70.6,523.9,0,12.8,54.3,87.6,1000.2,171,222.2,110.9,,
16.08.2018,260.5,72.6,525.7,0,13.9,59,104.9,1036.6,169.3,223.8,110.8,,
17.08.2018,255,71.7,519.5,0,13.4,55.7,109.5,1024.8,170.8,216.4,110.8,,
18.08.2018,250.7,67,542.1,0,12.3,42.5,84.2,998.7,169.7,239.7,110.9,,
19.08.2018,253.4,64.3,550.9,0,11.2,49,81.7,1010.6,170.6,248.1,111.1,,
20.08.2018,257.4,71.7,523,0,12.8,47.5,110.5,1022.9,169.8,221.5,110.7,,
21.08.2018,261.4,75,532.6,0,16,53.1,123.9,1062.1,170.4,230.2,110.8,,
22.08.2018,251.8,76.7,510.1,0,14.4,54.2,139.9,1047.2,171,206.2,110.7,,
23.08.2018,249.8,76.2,522.9,0,14.4,54,133,1050.3,171.1,219,110.7,,
24.08.2018,253.1,71.2,513.2,0,14.4,49.5,126.3,1027.7,170.1,209.9,110.7,,
25.08.2018,246.6,61.4,509,0,11.5,38.1,118.2,984.8,170.5,206.5,110.7,,
26.08.2018,246.2,64.6,518.6,0,11.5,32.7,106.3,980,170.7,216.3,111,,
27.08.2018,247.4,72.2,528.3,0,15.4,36.3,117.6,1017.1,170.8,225.4,111.2,,
28.08.2018,240.7,74.2,538.4,0,14.9,47.5,121,1036.8,170.7,233.9,111.3,,
29.08.2018,240.9,74.7,550,0,14.9,51.6,130.9,1063,170.5,245.4,111.2,,
30.08.2018,241.7,73.8,550.3,0,15.9,48.4,129.8,1060,170.7,245.2,111,,
31.08.2018,236.9,73.6,538.1,0,15.4,49.5,116.7,1030.3,170.1,233.4,111.4,,
01.09.2018,229.6,70.6,540.7,0,12.2,36.6,83,972.6,170.6,234.5,111.2,,
02.09.2018,234,64.7,549.2,0,12.4,32.9,82.2,975.4,170.4,243.5,111.1,,
03.09.2018,253,48,525.1,0,11.2,38.6,114.6,990.4,170.5,221.5,111.2,,
04.09.2018,256.6,76.8,523.9,0,12.9,36.6,112.2,1019,170.7,220,111.1,,
05.09.2018,255.3,76.5,512.1,0,13.9,37.8,115.8,1011.3,170.3,207.8,111,,
06.09.2018,254.5,80.4,526.2,0,16.6,37.3,109.5,1024.6,170.5,221.8,110.9,,
07.09.2018,258.2,75.8,523.6,0,22.4,25.8,108.2,1014,170.6,219.1,110.9,,
08.09.2018,232.9,71.9,533.6,0,24.6,23.9,86.8,973.7,163,236.6,110.9,,
09.09.2018,225.1,70.1,553.9,0,24.6,23.1,79.8,976.5,161.7,258,110.9,,
10.09.2018,232.7,75.7,559,0,24.5,41.6,98.7,1032.2,165.7,258.2,110.9,,
11.09.2018,231.3,75.3,556.8,0,19.2,39.4,82.7,1004.6,170.6,253,110.8,,
12.09.2018,214.7,76.5,600.6,0,19.2,54,89.2,1054.2,170.7,296.8,110.7,,
13.09.2018,246.8,75.1,555.7,0,19.2,51.4,109.4,1057.7,170.4,250.8,110.5,,
14.09.2018,245,78.1,564.2,0,18.1,43.9,107.1,1056.4,170.5,259,110.9,,
15.09.2018,250.5,77.7,567.2,0,14.4,30.3,80.1,1020.2,170.3,263.2,110.8,,
16.09.2018,256.2,72.3,521.5,0,14.4,27.6,73,965,170.5,217.3,110.8,,
17.09.2018,252.4,77.4,554.1,0,14.3,33,101,1032.2,170.4,248.5,110.8,,
18.09.2018,254.2,73.5,551.3,0,16.5,48.7,110,1054.2,170.5,246.5,110.5,,
19.09.2018,251.2,77.4,552.1,0,14.4,43.7,104.4,1043.1,170.3,246.8,110.9,,
20.09.2018,246.1,76.3,552.2,0,17,44.6,106.6,1042.9,170,248.3,110.8,,
21.09.2018,242.8,76.4,547.1,0,16.5,29.9,112.3,1025,170.2,242.6,110.8,,
22.09.2018,232.5,72.5,542.3,0,18.7,26.5,93.6,986.1,170.8,236.7,110.8,,
23.09.2018,241.5,70.4,529.2,0,16,23.2,83,963.2,170.3,224.5,110.7,,
24.09.2018,255.8,74.6,527.7,0,15.9,26.2,102.7,1002.8,170.3,224.7,110.9,,
25.09.2018,258.9,91.3,530.3,0,14.6,21.5,132,1048.4,170,226.9,110.9,,
26.09.2018,206.4,96.1,537.7,0,18.5,30.1,126.4,1015.3,170.5,233.7,110.8,,
27.09.2018,201.7,95.8,543.9,0,19.1,23.2,133.6,1017.3,170.2,239.7,110.8,,
28.09.2018,237.9,93.1,544.8,0,23.4,20.1,147.1,1066.4,170.3,239,110.8,,
29.09.2018,251.3,89,547.4,0,19.1,19,107.9,1033.8,170.9,240.5,110.8,,
